topic_id,topic_name,count,keywords
-1,-1_reviews_these_ipad_quality,946,
0,0_headset_headphones_bluetooth_wireless,184,"headset, headphones, bluetooth, wireless, earbuds, decent, phone, airpods, sound, ear"
1,1_reviews_devices_useful_durable,108,"reviews, devices, useful, durable, cords, very, great, ipad, iphone, these"
2,2_quality_great_cloud_very,105,"quality, great, cloud, very, security, camera, what, digital, used, br"
3,3_monitor_hdmi_cables_monitors,85,"monitor, hdmi, cables, monitors, usb, screen, keyboard, dell, mouse, computer"
4,4_cheap_had_amazon_advertised,76,"cheap, had, amazon, advertised, complaints, product, liked, great, what, your"
5,5_accessories_useful_sturdy_comfortable,74,"accessories, useful, sturdy, comfortable, laptop, storage, very, stuff, pockets, leather"
6,6_usb_great_seagate_nice,72,"usb, great, seagate, nice, ssd, installed, issues, plugged, desktop, just"
7,7_cord_protectors_strips_protector,57,"cord, protectors, strips, protector, plugs, plug, usb, useful, reviews, surge"
8,8_very_great_it_as,53,"very, great, it, as, feel, beautiful, liked, friend, happy, by"
9,9_purchase_purchased_inexpensive_glad,46,"purchase, purchased, inexpensive, glad, advertised, arrived, price, great, sturdy, bad"
10,10_quality_tape_very_great,45,"quality, tape, very, great, fun, adhesive, notebooks, adhesion, media, adhere"
11,11_very_great_support_about,44,"very, great, support, about, device, devices, good, work, dlink, you"
12,12_tablet_notebook_monitors_ipad,40,"tablet, notebook, monitors, ipad, adjustable, very, phone, works, pretty, adjust"
13,13_gift_setup_music_device,39,"gift, setup, music, device, speaker, trackr, work, its, plug, clock"
14,14_transmitter_logitech_very_nice,38,"transmitter, logitech, very, nice, keypad, wireless, need, keyboards, great, keyboard"
15,15_samsung_keyboard_sony_dvd,38,"samsung, keyboard, sony, dvd, remotes, tvs, buying, wireless, replace, batteries"
16,16_laptop_netbook_dell_m510,38,"laptop, netbook, dell, m510, mouse, wireless, very, computer, logitech, great"
17,17_useful_reviews_fitbit_nice,38,"useful, reviews, fitbit, nice, very, purchased, little, fun, smooth, ordered"
18,18_sony_quality_beautiful_excellent,37,"sony, quality, beautiful, excellent, panasonic, had, havent, lcd, great, have"
19,19_recommend_works_quality_excellent,37,"recommend, works, quality, excellent, nothing, pay, best, backup, great, product"
20,20_cable_cables_ethernet_connection,35,"cable, cables, ethernet, connection, comcast, connectors, port, router, network, 40gbps"
21,21_quality_recommend_price_awesome,32,"quality, recommend, price, awesome, is, overall, cool, box, great, nice"
22,22_happy_great_nice_too,31,"happy, great, nice, too, very, picture, keeps, older, for, vinyl"
23,23_kindle_just_size_tablet,30,"kindle, just, size, tablet, ipad, paperback, so, about, very, book"
24,24_use_electronics_screen_better,30,"use, electronics, screen, better, zoom, product, does, lens, work, albums"
25,25_durable_worth_recommended_highly,30,"durable, worth, recommended, highly, friendly, free, product, fantastic, manageable, described"
26,26_recommend_kindle_expensive_design,29,"recommend, kindle, expensive, design, gift, beautiful, touch, covers, buttons, protects"
27,27_durability_quality_sound_hearing,26,"durability, quality, sound, hearing, lasts, pricey, battery, purchase, phonebr, amp"
28,28_quality_ipad_pro_sound,25,"quality, ipad, pro, sound, use, videos, port, ipodtype, standard, nice"
29,29_usable_very_good_absolutely,25,"usable, very, good, absolutely, about, used, 3g, work, what, really"
30,30_fit_ipod_purse_airpod,24,"fit, ipod, purse, airpod, itjust, case, cases, clasp, will, leather"
31,31_as_very_quality_excellent,24,"as, very, quality, excellent, does, great, model, resturant, bff9v2, sound"
32,32_rvbr_usebr_adapter_awaybr,24,"rvbr, usebr, adapter, awaybr, backing, adapters, drivingbr, wide, works, camperbr"
33,33_firestick_hdmi_hd_firetv,22,"firestick, hdmi, hd, firetv, tv, seldombr, stations, station, roku, firesticks"
34,34_needs_happy_great_extremely,21,"needs, happy, great, extremely, nice, just, very, this, amazing, excellent"
35,35_brighter_light_lighting_very,21,"brighter, light, lighting, very, bright, lamp, about, lightbr, led, works"
36,36_case_noise_humming_comfortablehowever,21,"case, noise, humming, comfortablehowever, laptop, 120mm, great, bought, enthused, additional"
37,37_fitbit_use_phone_automatically,20,"fitbit, use, phone, automatically, band, watch, notifications, lasts, watches, smart"
38,38_device_external_microphone_button,20,"device, external, microphone, button, iphone, use, scam, audio, using, just"
39,39_adapter_quality_amscope_reflector,20,"adapter, quality, amscope, reflector, description, approved, telescope, optics, service, product"
40,40_reviews_windshield_use_radio,19,"reviews, windshield, use, radio, alarms, attachment, review, alarm, suction, like"
41,41_priced_s70_handset_cost,19,"priced, s70, handset, cost, battery, charge, advertised, charges, camera, charged"
42,42_help_trying_pointless_useful,19,"help, trying, pointless, useful, sturdy, cheaper, great, pleased, perfectly, use"
43,43_quality_durability_convenient_oem,19,"quality, durability, convenient, oem, stores, advertised, very, everything, promised, smooth"
44,44_great_use_mp3_sound,17,"great, use, mp3, sound, creative, e280, as, listening, adequate, recording"
45,45_bluetooth_device_worked_ipod,17,"bluetooth, device, worked, ipod, using, use, adapter, works, pair, great"
46,46_batteries_charging_charger_charge,17,"batteries, charging, charger, charge, garmin, light, charged, town, switch, charges"
47,47_recommend_item_described_product,17,"recommend, item, described, product, use, purchase, using, basement, looks, productit"
48,48_antennas_reception_antenna_channels,17,"antennas, reception, antenna, channels, amp, cable, signal, tv, baofengtech, tuner"
49,49_panasonic_sony_decent_hdmi,17,"panasonic, sony, decent, hdmi, lg, bose, rca, audio, kardon, receiver"
50,50_target_drive_dvdr_price,16,"target, drive, dvdr, price, on, sony, gb, dvd, update, brand"
51,51_hdmi_projector_projectors_1080,16,"hdmi, projector, projectors, 1080, cinema, resolution, tvs, epson, screen, hd"
52,52_gadgets_storage_gopro_organizer,16,"gadgets, storage, gopro, organizer, junk, charge, ups, alot, organizing, batteriesbr"
53,53_samsung_iphone_device_5g,14,"samsung, iphone, device, 5g, compatibility, galaxy, garmin, native, phone, app"
54,54_ipad_pro_macbook_asus,13,"ipad, pro, macbook, asus, macboook, screen, compatibility, matchbook, x570, optimal"
55,55_ipad_ipads_reviews_pro,13,"ipad, ipads, reviews, pro, bezel, glass, brightness, screen, screens, itbr"
56,56_sound_diy_tv_definitely,12,"sound, diy, tv, definitely, television, bad, sturdy, fading, estimated, doable"
57,57_wireless_camera_cameras_dslr,12,"wireless, camera, cameras, dslr, frame, videoing, reliability, vacation, photographer, photos"
